AsciiMath;LaTeX
!=;ne
<;lt
>;gt
<=;le
>=;ge
-<;prec
-<=;preceq
>-;succ
>-=;secceq
!in;notin
sub;subset
sup;supset
sube;subseteq
supe;supseteq
-=;equiv
~=;cong
~~;approx
prop;propto
uarr;uparrow
darr;downarrow
rarr;rightarrow
->;to
>->;rightarrowtail
->>;twoheadrightarrow
>->>;twoheadrightarrowtail
|->;mapsto
larr;leftarrow
harr;leftrightarrow
rArr;Rightarrow
lArr;Leftarrow
hArr;Leftrightarrow
=>;Rightarrow
<=>;Leftrightarrow
AA;forall
EE;exists
_|_;bot
TT;top
|--;vdash
|==;models
*;cdot
**;ast
***;star
\\;setminus
xx;times
-:;div
|><;ltimes
><|;rtimes
|><|;bowtie
@;circ
o+;oplus
ox;otimes
o.;odot
^^;wedge
^^^;bidwedge
vv;vee
vvv;bigvee
nn;cap
nnn;bigcap
uu;cup
uuu;bigcup
oo;infty
O/;emptyset
+-=pm
del;partial
grad;nabla
/_;angle
/_\;triangle
:.;therefore
:';because
...;ldots
CC;mathbb{C}
RR;mathbb{R}
QQ;mathbb{Q}
ZZ;mathbb{Z}
NN;mathbb{N}
ubrace;underbrace
obrace;overbrace
ul;underline
|__;lfloor
__|;rfloor
|~;lceiling
~|;rceiling
(:;langle
<<;langle
:);rangle
>>;rangle
dx;mathrm{d}x
dy;mathrm{d}y
dz;mathrm{d}z
dt;mathrm{d}t
/;
sum;
prod;
int;
oint;
sin;
cos;
tan;
sec;
csc;
cot;
arcsin;
arccos;
arctan;
sinh;
cosh;
sech;
csch;
coth;
exp;
log;
ln;
det;
dim;
mod;
gcd;
lcm;
lim;
lub;
glb;
min;
max;
/;
sqrt;
root;
aleph;
vdots;
ddots;
quad;
 ;
frown;
diamond;
square;
in;
and;
or;
if;
{;
};
vec;
hat;
bar;
dot;
ddot;
overset;
underset;
cancel;
alpha;
beta;
gamma;
Gamme;
delta;
Delta;
epsilon;
varepsilon;
zeta;
eta;
theta;
Theta;
vartheta;
iota;
kappa;
lambda;
Lambda;
mu;
nu;
xi;
Xi;
pi;
Pi;
rho;
sigma;
Sigma;
tau;
upsilon;
phi;
Phi;
varphi;
chi;
psi;
Psi;
omega;
Omega;